employee_id,Age,Basic Pay,No of Clients,Years of Service,Performance Score
1,47.88,40701.95,606.0,20.37,0
2,47.88,40701.95,116.0,39.0,0
3,32.0,37645.0,611.0,16.0,0
4,59.0,17423.0,992.0,16.0,0
5,34.0,33071.0,56.0,33.0,1
6,48.0,40974.0,851.0,34.0,0
7,27.0,63160.0,183.0,37.0,1
8,42.0,20854.0,92.0,33.0,0
9,61.0,18533.0,572.0,11.0,1
10,41.0,39972.0,204.0,19.0,1
11,56.0,45091.0,690.0,4.0,0
12,47.88,51454.0,594.0,11.0,1
13,42.0,20790.0,682.0,34.0,1
14,60.0,56015.0,41.0,19.0,1
15,53.0,24881.0,781.0,12.0,1
16,55.0,46163.0,349.0,28.0,1
17,48.0,35783.0,873.0,39.0,1
18,51.0,50932.0,500.0,12.0,1
19,58.0,47171.0,585.0,5.0,1
20,54.0,38619.0,756.0,18.0,0
21,35.0,58580.0,67.0,13.0,0
22,32.0,48456.0,39.0,15.0,0
23,34.0,63854.0,327.0,22.0,1
24,28.0,35939.0,924.0,23.0,1
25,34.0,31125.0,573.0,4.0,0
26,26.0,21482.0,760.0,28.0,1
27,30.0,30273.0,969.0,25.0,1
28,42.0,40927.0,452.0,24.0,1
29,34.0,43328.0,328.0,10.0,1
30,44.0,65120.0,39.0,7.0,0
31,38.0,25333.0,313.0,11.0,0
32,54.0,28090.0,255.0,0.0,1
33,62.0,41023.0,884.0,15.0,1
34,53.0,42178.0,656.0,9.0,0
35,29.0,26594.0,302.0,9.0,1
36,45.0,59921.0,431.0,23.0,0
37,34.0,54816.0,562.0,7.0,1
38,57.0,64934.0,705.0,12.0,0
39,62.0,47190.0,215.0,1.0,1
40,51.0,56842.0,877.0,15.0,1
41,37.0,53961.0,75.0,0.0,1
42,45.0,32419.0,305.0,17.0,1
43,33.0,16584.0,785.0,22.0,1
44,59.0,16708.0,521.0,33.0,1
45,50.0,56871.0,486.0,16.0,1
46,28.0,52189.0,403.0,17.0,1
47,27.0,21278.0,576.0,1.0,0
48,53.0,64823.0,20.0,22.0,0
49,25.0,44786.0,387.0,5.0,1
50,50.0,41033.0,359.0,25.0,0
51,47.0,23557.0,722.0,20.37,0
52,43.0,43149.0,259.0,8.0,0
53,37.0,58081.0,225.0,12.0,0
54,47.88,25782.0,527.0,31.0,0
55,62.0,63043.0,128.0,13.0,0
56,28.0,37479.0,479.58,20.37,0
57,49.0,29580.0,533.0,19.0,0
58,26.0,38670.0,919.0,35.0,0
59,40.0,46514.0,503.0,2.0,0
60,28.0,48434.0,396.0,6.0,0
61,39.0,36447.0,987.0,12.0,0
62,61.0,21123.0,174.0,14.0,1
63,55.0,17870.0,947.0,29.0,0
64,37.0,37230.0,10.0,9.0,1
65,33.0,53731.0,126.0,29.0,0
66,51.0,20009.0,1.0,40.0,1
67,47.0,58492.0,426.0,39.0,0
68,55.0,60385.0,775.0,11.0,1
69,30.0,57853.0,496.0,22.0,1
70,48.0,65645.0,794.0,20.0,0
71,56.0,46152.0,975.0,25.0,0
72,32.0,31543.0,614.0,23.0,0
73,45.0,50641.0,337.0,15.0,1
74,44.0,28151.0,369.0,22.0,0
75,49.0,35898.0,297.0,16.0,0
76,60.0,62794.0,809.0,33.0,0
77,44.0,45374.0,331.0,27.0,0
78,33.0,35631.0,675.0,12.0,0
79,25.0,66259.0,304.0,40.0,0
80,35.0,44793.0,250.0,29.0,0
81,47.88,37072.0,915.0,20.37,1
82,44.0,43305.0,533.0,15.0,1
83,47.88,28118.0,888.0,20.37,0
84,30.0,26349.0,515.0,13.0,0
85,51.0,58037.0,818.0,18.0,0
86,48.0,62731.0,595.0,10.0,0
87,52.0,37244.0,401.0,24.0,0
88,32.0,33135.0,825.0,15.0,0
89,28.0,44873.0,205.0,7.0,0
90,49.0,53079.0,414.0,16.0,1
91,47.88,42231.0,136.0,20.37,0
92,54.0,42647.0,313.0,8.0,0
93,43.0,48808.0,516.0,4.0,0
94,29.0,32177.0,264.0,18.0,0
95,57.0,27623.0,297.0,0.0,1
96,38.0,24310.0,460.0,18.0,1
97,38.0,49081.0,252.0,39.0,1
98,60.0,60537.0,925.0,38.0,0
99,47.88,40701.95,479.58,40.0,1
100,44.0,50340.0,848.0,10.0,1
