employee_id,Age,Basic Pay,No of Clients,Years of Service,Performance Score
1,59,45145,286,32,1
2,32,22249,910,30,0
3,51,26618,345,2,1
4,25,31450,247,23,0
5,37,52378,813,28,0
6,25,44783,462,1,1
7,50,47352,850,38,0
8,48,16245,590,2,0
9,44,35560,661,25,0
10,51,22976,840,25,1
11,50,25585,941,13,1
12,40,53191,953,31,1
13,29,33655,643,25,0
14,28,19863,3,14,0
15,30,35392,261,39,0
16,48,42771,536,21,1
17,34,21032,690,2,1
18,49,47194,931,26,0
19,41,44257,948,26,1
20,40,65668,908,10,0
21,27,44625,120,38,0
22,26,56641,396,15,1
23,42,45134,188,13,0
24,39,52854,691,13,1
25,41,63082,837,10,1
26,47,46302,266,25,0
27,55,45871,534,27,0
28,52,22319,764,0,1
29,58,26353,788,15,0
30,29,33207,363,29,1
31,51,17039,628,30,1
32,38,46718,585,11,0
33,51,32455,797,40,0
34,34,37982,593,1,0
35,34,39218,145,14,0
36,59,48478,53,33,0
37,29,65703,116,8,1
38,56,56298,913,11,0
39,58,35308,9,26,0
40,60,37423,928,27,1
41,33,60577,607,28,0
42,54,53816,481,7,0
43,35,22234,60,8,0
44,26,53323,274,26,0
45,52,20648,529,18,1
46,49,47378,737,10,1
47,38,24169,201,15,0
48,25,63416,92,28,1
49,47,40111,8,37,1
50,50,43551,722,5,1
51,28,57344,541,36,1
52,40,42683,650,32,0
53,57,47475,386,19,1
54,41,35735,713,25,0
55,45,31663,732,13,0
56,34,48446,672,3,0
57,35,32920,105,13,0
58,44,57465,825,2,1
59,31,38089,690,4,0
60,57,19542,34,16,1
61,30,39585,421,5,0
62,60,48081,113,5,0
63,27,33218,8,3,0
64,32,23647,296,4,0
65,50,17030,404,21,0
66,42,34972,425,13,1
67,37,47568,109,39,0
68,44,47786,372,32,1
69,54,62504,952,27,1
70,57,61882,473,35,1
71,51,35399,781,20,0
72,49,54146,807,14,1
73,37,15614,622,1,0
74,61,17865,844,21,1
75,47,19470,98,23,1
76,33,45247,588,25,1
77,36,23708,322,40,1
78,45,52216,45,30,0
79,51,32588,763,17,1
80,47,24262,210,22,0
81,57,57775,938,10,1
82,37,27126,867,7,0
83,30,21211,425,13,0
84,46,19403,183,25,1
85,56,41273,790,27,1
86,47,44398,540,16,0
87,45,59624,129,29,1
88,41,20027,685,17,1
89,57,66998,749,18,1
90,43,40995,269,29,1
91,45,49914,766,31,0
92,54,35552,609,14,0
93,31,38442,211,15,0
94,56,19706,320,17,0
95,61,45921,613,0,0
96,51,18579,831,20,0
97,37,27994,438,39,0
98,36,49654,812,33,1
99,45,66653,343,38,1
100,26,56655,893,8,0
